sentence_id,book,parution,start_pdf_page,end_pdf_page,text
119,1,1988,12,12,"La première sonde se livrait à une circumnavigation à haute altitude, lui permettant de photographier toute la planète."
120,1,1988,12,12,"La seconde, sur orbite basse, pouvait rééxaminer n’importe quelle région à la demande."
121,1,1988,12,12,La troisième sonde était programmée pour les détails topographiques.
122,1,1988,12,12,"— Les sondes quatre et six ont atterri, amiral."
123,1,1988,12,12,"La cinq attend les ordres, dit Sallah, interprétant les nouvelles lumières qui commençaient à fulgurer sur son écran."
124,1,1988,12,12,Modules d’exploration déployés.
125,1,1988,12,12,"L’image de Pern continua à dominer l’écran principal, tandis que la planète tournait lentement vers l’est, de la nuit vers le jour."
126,1,1988,12,12,"La côte du continent Méridional était éclairée, et l’on distinguait une chaîne de montagnes et le lit de plusieurs rivières."
127,1,1988,12,12,Le balayage thermique montrait l’effet de la lumière du jour en cette fin d’hiver.
128,1,1988,13,13,"Les modules avaient été lâchés sur trois zones du continent Méridional encore invisibles, et relayaient des informations sur l’état du terrain et les conditions météo."
129,1,1988,13,13,On avait toujours privilégié le continent Méridional pour l’atterrissage : le rapport de l’EEE mentionnait un climat plus clément sur les hauts plateaux ;
130,1,1988,13,13,"une plus grande variété de plantes, dont certaines comestibles pour l’homme, de bonnes terres arables, des mouillages sûrs pour les solides bateaux de pêche en siliplex transportés en pièces détachées dans les cales du Buenos Aires et du Bahrain."
131,1,1988,13,13,"Les mers de Pern grouillaient de vie, et l’homme devait pouvoir en consommer au moins quelques espèces sans danger."
132,1,1988,13,13,Les biologistes marins nourrissaient l’espoir de peupler les baies et les estuaires de variétés terriennes sans nuire à l’équilibre écologique.
133,1,1988,13,13,"Les caissons congélateurs du Bahrain contenaient vingt-cinq dauphins, qui s’étaient portés volontaires pour le voyage."
134,1,1988,13,13,Les mers de Pern convenaient à merveille aux intelligents mammifères séduits par l’occasion de voir de nouveaux mondes et de jouer les bergers des mers.
135,1,1988,13,13,"D’après les analyses des sols, les céréales et les légumes terriens, qui s’étaient déjà bien adaptés au sol centaurien, devaient prospérer sur Pern – chose indispensable, les herbes indigènes ne convenant pas aux animaux terriens."
136,1,1988,13,13,L’une des premières tâches des agronomes serait de semer des plantes fourragères pour les différents herbivores et ruminants amenés de la Terre sous forme d’ovules congelés pris dans les Banques de Reproduction Animale de Terra.
137,1,1988,13,13,"Afin d’assurer l’adaptabilité des animaux terriens sur Pern, les colons avaient difficilement obtenu l’autorisation d’utiliser certaines techniques biogénétiques des Eridanis"
138,1,1988,13,13,"– essentiellement la communication mentale, la réduction des gènes et les améliorations chromosomiques."
139,1,1988,13,13,"Bien que Pern se trouvât dans un secteur isolé de la galaxie, les Planètes Intelligentes Fédérées voulaient éviter de nouveaux désastres biologiques, tels que ceux qui avaient provoqué la formation du groupe pour la Défense d’une Lignée Humaine Pure."
140,1,1988,13,13,Emily
141,1,1988,13,13,Boll réprima un frisson.
142,1,1988,13,13,Ces souvenirs appartenaient au passé.
143,1,1988,13,13,Déployé devant elle sur l’écran : l’avenir
144,1,1988,13,13,–
145,1,1988,13,13,et elle ferait bien de descendre aider les spécialistes à l’organiser
146,1,1988,13,13,.
147,1,1988,13,13,"— J’ai traîné assez longtemps, murmura-t-elle à Paul Benden, en lui touchant l’épaule."
148,1,1988,13,13,Paul détacha son regard de l’écran et sourit en lui tapotant amicalement la main.
149,1,1988,14,19,— Allez d’abord manger quelque chose !
150,1,1988,14,19,"dit-il, la menaçant du doigt."
151,1,1988,14,19,Vous oubliez toujours que nous ne sommes pas rationnés sur le Yoko.
152,1,1988,14,19,"Elle le regarda, stupéfaite."
153,1,1988,14,19,— Oui.
154,1,1988,14,19,C’est promis.
155,1,1988,14,19,— Les semaines qui viennent seront dures.
156,1,1988,14,19,"— Oui, mais tellement stimulantes, dit-elle, les yeux brillants."
157,1,1988,14,19,Puis son estomac émit un grognement affamé.
158,1,1988,14,19,"— C’est compris, amiral."
159,1,1988,14,19,Elle lui adressa un clin d’œil complice et sortit.
160,1,1988,14,19,"Il la regarda gagner la porte la plus proche, mince, presque osseuse, avec ses cheveux gris et ondés qui lui tombaient jusqu’aux épaules."
161,1,1988,14,19,"Ce qui lui plaisait chez elle, c’était cette force indomptable, à la fois morale et physique, alliée à une brutalité qui le surprenait parfois."
162,1,1988,14,19,Elle avait une vitalité extraordinaire – sa seule présence suffisait à vous remonter le moral.
163,1,1988,14,19,"Ensemble, ils feraient quelque chose de ce nouveau monde."
164,1,1988,14,19,"Le grand salon avait été transformé en bureau pour les chefs des différentes équipes d’exobiologistes, agronomes, botanistes et écologistes, auxquels s’étaient joints six représentants des fermiers professionnels, encore un peu groggy de leur longue animation suspendue."
165,1,1988,14,19,"La salle était entourée de multiples écrans affichant une multitude changeante de rapports, statistiques, comparaisons et analyses microbiologiques."
166,1,1988,14,19,Les débats allaient bon train.
167,1,1988,14,19,"Ceux qui étaient penchés sur les moniteurs, collationnant diligemment les données, essayaient d’ignorer la tension émanant des chefs de département, assemblés au centre en un groupe compact, chacun gardant l’œil sur les écrans concernant sa spécialité."
168,1,1988,14,19,"Mar Dook, le chef agronome, était un petit homme dont les traits, la peau et la morphologie annonçaient l’ascendance asiatique : il était mince et musclé, avec des épaules légèrement voûtées, et ses yeux noirs brillaient"
169,1,1988,14,19,d’une vive intelligence et de l’impatience d’affronter les difficultés.
170,1,1988,14,19,"— Les priorités sont décidées depuis longtemps, mes chers collègues."
171,1,1988,14,19,Nous faisons partie de la première vague de débarquement.
172,1,1988,14,19,Les sondes ne contredisent aucune des informations déjà en notre possession.
173,1,1988,14,19,Les échantillons de sol et de végétation concordent.
174,1,1988,14,19,On a relevé le long des côtes les mêmes variétés d’algues vertes et rouges que prévu.
175,1,1988,14,19,"Une sonde à basse altitude a capturé une réconfortante variété d’insectes, également découverte par l’EEE."
176,1,1988,14,19,"Le fax aérien transmis par cette même équipe signalait la présence de – comment les avaient-ils baptisés, déjà ?"
177,1,1988,14,19,– wherries1.
178,1,1988,14,19,— Pourquoi « wherries » ?
179,1,1988,14,19,demanda
180,1,1988,14,19,Phas Radamanth.
181,1,1988,14,19,"Il parcourut rapidement le rapport, cherchant cette mention particulière."
182,1,1988,14,19,"— Ah, dit-il quand il l’eut trouvée."
183,1,1988,14,19,Parce qu’ils ressemblent à des péniches volantes
184,1,1988,14,19,"– lourds, gros et massifs."
185,1,1988,14,19,Il se permit un petit sourire pour la fantaisie de cette équipe disparue depuis longtemps.
186,1,1988,14,19,"— Oui, mais ils ne mentionnent aucun autre prédateur, dit Kwan Marceau, fronçant son front haut, comme d’habitude."
187,1,1988,14,19,"— Il existe sûrement une autre bête qui les mange, répliqua"
188,1,1988,14,19,Phas avec assurance.
189,1,1988,14,19,"— Ou alors, ils se mangent entre eux, suggéra Mar Dook, ce qui lui valut un regard sévère de Kwan."
190,1,1988,14,19,"Soudain, Mar Dook, très excité, montra un nouveau fax sur l’écran."
191,1,1988,14,19,— Regardez !
192,1,1988,14,19,Le module a capturé un reptiloïde.
193,1,1988,14,19,Un grand spécimen.
194,1,1988,14,19,Dix centimètres de diamètre et sept mètres de long.
195,1,1988,14,19,"Le voilà, ton mangeur de wherries, Kwan."
196,1,1988,14,19,"— Un autre module vient de traverser une flaque de matière excrémentielle, semi-liquide, contenant des parasites et bactéries intestinaux, dit Pol Nietro, étiquetant rapidement le rapport pour étude ultérieure."
197,1,1988,14,19,Et le sol semble grouiller d’insectes.
198,1,1988,14,19,D’une variété considérable.
199,1,1988,14,19,"Nématodes, insectoïdes, acariens qui ne seraient pas déplacés dans un compost terrien."
200,1,1988,14,19,"Ted, voilà quelque chose pour toi : des végétaux qui ressemblent à nos mycorhizes – des champignons qui poussent sur les arbres."
201,1,1988,14,19,"À ce propos, je me demande où l’EEE avait bien pu trouver ce mycélium lumineux."
202,1,1988,14,19,"Ted Tubberman, l’un des biologistes de la colonie, émit un grognement dédaigneux."
203,1,1988,14,19,"Il était grand, sans un pouce de graisse après ses quinze ans passés en animation suspendue, et il avait un certain penchant pour l’arrogance."
204,1,1988,14,19,"— Les organismes lumineux se trouvent généralement dans les grottes profondes, Nietro, car ils utilisent leur lumière pour attirer leurs proies, souvent des insectes."
205,1,1988,14,19,Le mycélium en question se trouvait dans un système de grottes de la grande île au sud du continent Septentrional.
206,1,1988,14,19,On dirait qu’il y a beaucoup de grottes sur cette planète.
207,1,1988,14,19,Pourquoi n’a-t-on pas programmé un module pour des investigations souterraines ?
208,1,1988,14,19,demanda-t-il d’un ton chagrin.
209,1,1988,14,19,"— Nous n’en avions qu’un nombre limité à notre disposition, expliqua Mar Dook, conciliant."
210,1,1988,14,19,— Regardez !
211,1,1988,14,19,"Voilà ce que j’attendais, dit Kwan, son visage généralement solennel s’éclairant quand il se pencha à toucher du nez l’écran du moniteur."
212,1,1988,14,19,Il y a des systèmes de récifs.
213,1,1988,14,19,"Et aussi, oui, un écosystème marin fragile autour des îles."
214,1,1988,14,19,C’est très encourageant.
215,1,1988,14,19,Ces petits points sont peut-être les restes d’une tempête de météorites.
216,1,1988,14,19,Ted écarta immédiatement cette hypothèse.
217,1,1988,14,19,— Non.
218,1,1988,14,19,"Pas de traces d’impacts, et l’implantation des nouveaux végétaux ne correspond pas à ce type de phénomène."
219,1,1988,14,19,—
220,1,1988,14,19,"Ce qui passe avant tout, dit Mar Dook, doucement réprobateur, c’est de sélectionner des sites appropriés, de labourer, de tester et, où ce sera nécessaire, d’introduire des bactéries et des champignons, et même des insectes symbiotiques, indispensables aux cultures fourragères."
221,1,1988,14,19,"— Mais nous ne savons même pas encore quel site on choisira pour l’atterrissage, contra Ted, rouge d’irritation."
222,1,1988,14,19,"— Les trois examinés en ce moment sont du pareil au même, répliqua"
223,1,1988,14,19,Mar Dook avec un sourire indulgent.
224,1,1988,14,19,Il trouvait fatigante la nervosité agressive de Tubberman.
225,1,1988,14,19,— Tous offriront les terres nécessaires pour ensemencer des champs d’expérimentation et de contrôle.
226,1,1988,14,19,"Où qu’on atterrisse, les travaux de base seront les mêmes."
227,1,1988,14,19,"L’essentiel, c’est de ne pas manquer la première saison de culture, qui sera vitale."
228,1,1988,14,19,"— Les animaux reproducteurs devront être ranimés dès que possible, dit Pol Nietro."
229,1,1988,14,19,Le chef géologiste était aussi impatient que tout le monde de plonger dans les tâches pratiques qui les attendaient.
230,1,1988,14,19,"— Nourris avec nos plateaux d’alfalfa, ils n’adapteront pas leur digestion à un nouvel environnement."
231,1,1988,14,19,Il faut tout de suite prendre le taureau par les cornes et laisser Pern suffire à nos besoins.
232,1,1988,14,19,Un murmure d’approbation accueillit ces paroles.
233,1,1988,14,19,"— Le seul nouveau facteur encourageant dans ces rapports, dit Phas Radamanth, le xénobiologiste, sans détourner les yeux de ses écrans, c’est la densité de la végétation."
234,1,1988,14,19,Nous serons peut-être obligés de défricher plus que nous ne le pensions au site 45 sud 11.
235,1,1988,14,19,"Tenez, ici, dit-il, montrant les images disparates."
236,1,1988,14,19,"Là où les images de l’EEE montraient une végétation clairsemée, nous avons maintenant des végétaux touffus, dont certains d’une taille respectable."
237,1,1988,14,19,"— C’est bien le moins, au bout de deux cents ans, dit Ted Tubberman avec irritation."
238,1,1988,14,19,Cette aridité m’avait toujours inquiété.
239,1,1988,14,19,Elle semblait annoncer une écologie indigente.
240,1,1988,14,19,"Tenez, ces taches circulaires semblent indiquer une végétation exubérante."
241,1,1988,14,19,"Felicia, envoie-nous les images correspondantes de l’EEE."
242,1,1988,14,19,Il pencha sa haute silhouette par-dessus l’épaule de la jeune femme pour regarder l’écran au-dessous de ceux diffusant les images des sondes.
243,1,1988,14,19,"— Regarde, ici, ces cercles sont à peine discernables."
244,1,1988,14,19,Ils avaient raison de parler de succession botanique.
245,1,1988,14,19,Et ce ne sont pas des herbacées.
246,1,1988,14,19,Il s’agit d’une végétation mutante…
247,1,1988,14,19,"Il laissa sa phrase en suspens, secouant la tête et serrant les dents."
248,1,1988,14,19,Il avait toujours affirmé hautement que le succès de la colonie dépendrait des facteurs botaniques.
249,1,1988,14,19,"— Moi aussi, je suis content de constater cette succession, mais d’après les rapports de l’EEE… commença"
250,1,1988,14,19,Mar Dook.
251,1,1988,14,19,— Au diable les rapports de l’EEE.
252,1,1988,14,19,Ils ne nous disent pas la moitié de ce que nous avons besoin de savoir !
253,1,1988,14,19,s’exclama
254,1,1988,14,19,Ted.
255,1,1988,14,19,Ils les avaient intitulés : tour d’horizon.
256,1,1988,14,19,Fait en vitesse au grand trot.
257,1,1988,14,19,Aucune profondeur.
258,1,1988,14,19,C’est l’aperçu le plus superficiel que j’aie jamais lu de ma vie.
259,1,1988,14,19,"— Je suis bien d’accord, dit la voix calme d’"
260,1,1988,14,19,Emily
261,1,1988,14,19,"Boll, entrée pendant les récriminations du botaniste."
262,1,1988,14,19,Le rapport initial de l’EEE paraît bien incomplet maintenant que nous pouvons le comparer à notre nouvelle patrie.
263,1,1988,14,19,Mais il couvrait les aspects les plus saillants.
264,1,1988,14,19,"Nous savons ce que nous avions besoin de savoir, et les Planètes Intelligentes Fédérées n’ont pas demandé mieux que de nous abandonner cette planète qui n’avait aucun intérêt pour elles."
265,1,1988,14,19,Ce n’est pas non plus une planète que les syndicats se disputeraient.
266,1,1988,14,19,C’est la raison pour laquelle elle est à nous.
267,1,1988,14,19,"À mon avis, il ne faut pas critiquer l’EEE, mais plutôt la remercier."
268,1,1988,14,19,"Elle regarda chacun en souriant, et poursuivit :"
269,1,1988,14,19,"— Tous les éléments importants sont là : l’atmosphère, l’eau, la terre arable, les minerais, les minéraux, les bactéries, les insectes, la vie marine, et Pern convient parfaitement à la colonisation humaine."
270,1,1988,14,19,"Les lacunes, nous avons toute notre vie pour les combler."
271,1,1988,14,19,"C’est un défi pour chacun de nous, et pour nos enfants !"
272,1,1988,14,19,Il n’est plus temps de nous soucier de ce qu’on ne nous a pas dit.
273,1,1988,14,19,Nous trouverons bientôt les réponses.
274,1,1988,14,19,Concentrons
275,1,1988,14,19,-nous
276,1,1988,14,19,sur le travail que nous devrons commencer dans deux jours
277,1,1988,14,19,.
278,1,1988,14,19,Nous sommes prêts à toutes les surprises que Pern pourra nous réserver.
279,1,1988,14,19,"Maintenant, Mar Dook, avez-vous vu quoi que ce soit dans les mises à jour de nature à nous faire modifier nos plans d’atterrissage ?"
280,1,1988,14,19,"— Rien, répliqua"
281,1,1988,14,19,"Mar Dook, avec un regard soucieux à Ted Tubberman, qui fronçait les sourcils en considérant Emily Boll."
282,1,1988,14,19,Et tous ces échantillons de sol et de matières végétales devraient nous occuper utilement.
283,1,1988,14,19,"— Je n’en doute pas, dit Emily avec un grand sourire."
284,1,1988,14,19,"Nous ne manquerons pas d’occupation – ah, voilà l’information dont vous avez besoin."
285,1,1988,14,19,Cela fait beaucoup à digérer.
286,1,1988,14,19,"— Nous ne savons toujours pas où nous atterrissons, protesta Ted."
287,1,1988,14,19,"— L’amiral est en train d’en discuter en ce moment, répondit Emily d’une voix égale."
288,1,1988,14,19,Nous serons parmi les premiers à le savoir.
289,1,1988,14,19,Les agronomes devaient prendre place dans les premières navettes de débarquement : il était vital pour la colonie de commencer les labours et les semailles au plus tôt.
290,1,1988,14,19,"Pendant que les ingénieurs installeraient un terrain d’atterrissage, les agronomes laboureraient, et Ted Tubberman et son groupe érigeraient des abris et ensemenceraient le sol précieux apporté de la Terre."
291,1,1988,14,19,"Pat Hempenstall, dans un abri de contrôle, ensemencerait du sol indigène, pour voir quelles variétés terriennes ou coloniales pouvaient y prospérer."
292,1,1988,14,19,On avait également apporté assez d’organismes vivants pour introduire des bactéries symbiotiques.
293,1,1988,14,19,"— Je serai très content, murmura Pol"
